"","MM","GS","group"
"TMPRSS11D",0.880825837833014,0.731199312618223,TRUE
"GBP5",0.841600387809937,0.532104387190151,TRUE
"SKA1",0.863971753462521,0.547835209495568,TRUE
"HEATR3",0.867158144051978,0.580657320885268,TRUE
"UBE2L6",0.821832227709876,0.584322212598123,TRUE
"BUB1B",0.862821367573331,0.469865419364926,TRUE
"LRP8",0.848718112064031,0.540259485929627,TRUE
"CCNB2",0.878688792873941,0.624146083215281,TRUE
"KCNJ15",0.812534866020933,0.586354837477962,TRUE
"MX1",0.806508458140051,0.579226734912353,TRUE
"PLA2G4D",0.879658302210068,0.824104507072661,TRUE
"HK2",0.85880617552331,0.591017378646304,TRUE
"SHC1",0.820259925698485,0.492742025218852,TRUE
"PDZK1IP1",0.823198002259644,0.772035287938202,TRUE
"VSNL1",0.823335897188397,0.545148618015833,TRUE
"S100A11",0.821397824841628,0.509691619842576,TRUE
"LCE3D",0.812490652387526,0.756216220910775,TRUE
"SPRR2D",0.830391964450472,0.778308486754941,TRUE
"PGLYRP4",0.802800426456141,0.639728265470521,TRUE
"S100A9",0.836995242896249,0.85257823833994,TRUE
"S100A12",0.829133704078366,0.779119433641825,TRUE
"IFI16",0.842857031270078,0.479748124111848,TRUE
"CXCL1",0.817330265890196,0.692890677816263,TRUE
"KIF15",0.802920184247033,0.409124306546872,TRUE
"DTX3L",0.880650389780558,0.473841626775342,TRUE
"ZC3H12A",0.86738257257752,0.819090684197781,TRUE
"METAP1",0.875591705434559,0.468867089749938,TRUE
"CDC25A",0.864604877431255,0.516106951035913,TRUE
"PTTG1",0.825164619377193,0.583702027973349,TRUE
"FABP5",0.844018533532454,0.750732490675738,TRUE
"MELK",0.876407878861525,0.546174484694746,TRUE
"GJB2",0.892626558775755,0.781097258964526,TRUE
"SKA3",0.827820938096739,0.515783173614528,TRUE
"CASP7",0.851447232340522,0.57777840255432,TRUE
"TC2N",0.823318254267984,0.484230826295055,TRUE
"IFI27",0.819009881196178,0.661681563904157,TRUE
"ARL5B",0.809957740551413,0.428541082970398,TRUE
"IDH3A",0.917922413508106,0.614119519127313,TRUE
"CENPN",0.885533810267593,0.555240622400712,TRUE
"PLK1",0.843487718427376,0.634003991837743,TRUE
"CLPX",0.815817579024718,0.383882428032608,TRUE
"KLK13",0.850105152319924,0.754636165039378,TRUE
"RAB31",0.829995842212771,0.46250198706661,TRUE
"STAT3",0.845909150556275,0.604862802364326,TRUE
"PCSK9",0.820619082978639,0.611369551592946,TRUE
"PGM2",0.926220841251887,0.64444036179183,TRUE
"SPRR1B",0.823442990711792,0.705068662915583,TRUE
"CDK1",0.846030061629988,0.59791525082484,TRUE
"HSPA4",0.812260318522147,0.331728095856076,TRUE
"FUT3",0.841779729625934,0.726676881791014,TRUE
"ESCO2",0.830084116032739,0.500151935737525,TRUE
"DEFB4A",0.823352592774743,0.809468901169373,TRUE
"RRM2",0.912840954863437,0.652546810691265,TRUE
"CLEC7A",0.891457594177703,0.637105492356608,TRUE
"ABCG4",0.807434573114512,0.693671166829087,TRUE
"PRSS27",0.848877051992648,0.77427977992247,TRUE
"NIPAL4",0.803570891277099,0.536944840601816,TRUE
"RASGRP1",0.85264172857149,0.487098357526381,TRUE
"CYP7B1",0.818893021307383,0.412589773479602,TRUE
"HPSE",0.889945430770396,0.734704615943972,TRUE
"PARP14",0.833216421055622,0.432949503240684,TRUE
"FBXO45",0.844809090592355,0.577805747379723,TRUE
"EXO1",0.810182090861562,0.432583552552554,TRUE
"SLC26A9",0.86157892995461,0.67779621274812,TRUE
"UBE2C",0.835303902059304,0.615315172178077,TRUE
"ZDHHC21",0.887594566766274,0.555964180083538,TRUE
"CDK5R1",0.880137082505184,0.667077977620013,TRUE
"FUT2",0.811187858653383,0.69055385840198,TRUE
"FOXE1",0.845525336920321,0.643366855082138,TRUE
"HIGD1A",0.83412436716809,0.53565773148091,TRUE
"HEPHL1",0.870143990125816,0.758136740494972,TRUE
"DDX60L",0.81085222237739,0.412325648340802,TRUE
"KPNA2",0.866763401538373,0.631490356107337,TRUE
"TREX2",0.800971829753136,0.800181449566317,TRUE
"UPP1",0.818981325953601,0.72796775625479,TRUE
"LRRC55",0.805779404055505,0.61196121310984,TRUE
"ADAP2",0.881209313227377,0.670414744976113,TRUE
"UBE2F",0.843762386505399,0.581862776151515,TRUE
"S100A7A",0.848941282830576,0.766091902663358,TRUE
"CDCA2",0.852426194898986,0.485293695561478,TRUE
"FAM110C",0.921920407413081,0.647504104099133,TRUE
"FAM43A",0.84675933976942,0.706327978813082,TRUE
"LCE3E",0.806221926050289,0.751226016932925,TRUE
"SPIN4",0.854741109014505,0.509190231044886,TRUE
"KRT16",0.82385640484,0.689255664755522,TRUE
"ERCC6L",0.857617981601916,0.522720270162029,TRUE
"DCUN1D3",0.849416158584518,0.55324894899278,TRUE
"PLSCR1",0.832819046359816,0.526091813547184,TRUE
"RNF222",0.815481777480122,0.670870308526214,TRUE
"FAM111B",0.813819407293788,0.494864410885284,TRUE
"GM2A",0.914562948043412,0.72457970799041,TRUE
"S100A2",0.816840855388721,0.721346207630113,TRUE
"CD47",0.834447972242805,0.415786744042024,TRUE
"SPRR2B",0.804476689109445,0.747006360309396,TRUE
"LRRC8B",0.826849017113698,0.471623109586937,TRUE
"BLM",0.824849870087484,0.445719718407555,TRUE
"SLC28A3",0.82484306763694,0.560676607246454,TRUE
"SERPINB13",0.894267699144096,0.692344896728905,TRUE
"FCHSD1",0.814815985026386,0.771775502889595,TRUE
"MPZL1",0.805696014637191,0.35844128737628,TRUE
"ENTPD7",0.8799147812947,0.511695165025235,TRUE
"AKR1B10",0.879054801950988,0.7740031317095,TRUE
"PNP",0.863238680725208,0.742057403575129,TRUE
"TOP1",0.84935088581572,0.487754418482903,TRUE
"SPRR2E",0.80598354260928,0.76670784439981,TRUE
"SAMD9",0.887000112449923,0.578455303536202,TRUE
"KRT6A",0.842286765895396,0.737168695887912,TRUE
"SERPINB4",0.871917771372949,0.785011662883113,TRUE
"APOL6",0.896394387607544,0.557166238730834,TRUE
"AKR1B15",0.818708274176924,0.698361963688948,TRUE
"SPRR2A",0.845862304933335,0.749851669699143,TRUE
"CFB",0.806128885516946,0.544092087126034,TRUE
"SPRR2F",0.828619404166454,0.783827485034235,TRUE
"LYN",0.862699606168372,0.530937047144622,TRUE
"SLC6A14",0.876184740988075,0.752891484872853,TRUE
