"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MIF5",7.08114533469672e-140,1.53068822619266,0.597,0.358,1.99610405839766e-135,"19","MIF"
"RPS24",8.17542892382944e-109,0.531392109464592,0.987,0.985,2.30457165933828e-104,"19","RPS24"
"CSTA",1.06273606909268e-101,1.40238284583259,0.557,0.339,2.99574670516537e-97,"19","CSTA"
"MT2A4",2.39747158564543e-101,2.27921824691641,0.609,0.428,6.7582326527759e-97,"19","MT2A"
"NDUFC1",5.75971648351461e-99,1.43541628077925,0.501,0.316,1.62360647953793e-94,"19","NDUFC1"
"BTF3",2.06026161768515e-97,0.811877333623789,0.845,0.882,5.80767147409267e-93,"19","BTF3"
"YWHAE3",1.65973570788872e-96,1.32408774323906,0.588,0.43,4.67862898696751e-92,"19","YWHAE"
"CLTB",1.82768332435572e-96,1.28082726424236,0.501,0.317,5.15205652302634e-92,"19","CLTB"
"COX7B1",2.29048324884323e-94,1.24076964371034,0.663,0.598,6.45664323016417e-90,"19","COX7B"
"RPL7A1",2.46191455400212e-93,0.62750265348625,0.965,0.975,6.93989093627659e-89,"19","RPL7A"
"MTRNR2L124",4.71387055031607e-92,0.827934508021349,0.568,0.323,1.3287929694286e-87,"19","MTRNR2L12"
"RPL291",1.88837608351156e-85,0.537231306095582,0.967,0.977,5.32314334181074e-81,"19","RPL29"
"PPDPF1",2.52391386183392e-80,1.40633218435834,0.672,0.647,7.11466078512363e-76,"19","PPDPF"
"RPL35",8.39104598828905e-80,0.592776068099912,0.937,0.968,2.3653519536388e-75,"19","RPL35"
"UQCRQ2",6.70138950100476e-74,1.20585228772345,0.583,0.491,1.88905468643823e-69,"19","UQCRQ"
"RPL361",3.38720050225961e-73,0.5225827620784,0.964,0.972,9.54817949581961e-69,"19","RPL36"
"RPL231",8.82189463144017e-73,0.563139304445984,0.934,0.942,2.48680387765667e-68,"19","RPL23"
"PEBP13",2.89279575631791e-70,1.43612867154664,0.549,0.433,8.15450195748457e-66,"19","PEBP1"
"COX6C2",3.94704850809442e-66,1.0684278816113,0.704,0.726,1.11263350394673e-61,"19","COX6C"
"DNAJB13",1.36783870981685e-65,1.49233311907601,0.535,0.408,3.85580053910273e-61,"19","DNAJB1"
"COX5B",1.9389860563147e-64,1.15691128330915,0.665,0.669,5.4658077941455e-60,"19","COX5B"
"TUBB4B1",6.6669718460414e-63,1.18482311348277,0.508,0.38,1.87935269368061e-58,"19","TUBB4B"
"NDUFB42",3.72800276960466e-60,1.10762795314924,0.547,0.466,1.05088670072386e-55,"19","NDUFB4"
"SLC25A33",1.72916619253164e-57,1.04230919332752,0.636,0.622,4.87434658012743e-53,"19","SLC25A3"
"TPI12",9.03312144417652e-55,1.07571019199921,0.598,0.553,2.54634660389892e-50,"19","TPI1"
"NDUFA132",1.1833390985823e-53,1.09558381994218,0.565,0.509,3.33571458499364e-49,"19","NDUFA13"
"CEBPD4",2.69010133361648e-46,1.08415985239687,0.512,0.371,7.58312664933149e-42,"19","CEBPD"
"RPL4",5.21581555786955e-46,0.516262887672698,0.869,0.909,1.47028624760785e-41,"19","RPL4"
"UQCRH2",1.90942926798197e-45,0.943317862104246,0.643,0.672,5.38249016351436e-41,"19","UQCRH"
"EEF2",2.10636816568541e-45,0.645288503203146,0.776,0.824,5.93764122225062e-41,"19","EEF2"
"RPLP1",6.61164584759477e-45,0.558046139976405,0.995,0.998,1.86375684797849e-40,"19","RPLP1"
"POLR2L2",1.78789635220904e-41,0.911902149070228,0.594,0.596,5.03990102724207e-37,"19","POLR2L"
"ENO12",8.21855974466614e-40,1.04547991230362,0.616,0.619,2.31672980642394e-35,"19","ENO1"
"RAN2",1.60378601081433e-38,0.919391562147908,0.548,0.519,4.52091238588451e-34,"19","RAN"
"UBB2",9.10481560199087e-38,0.748731939877575,0.73,0.781,2.56655647004521e-33,"19","UBB"
"MYL12B",5.32666540178076e-37,0.652521879029714,0.689,0.756,1.50153371010798e-32,"19","MYL12B"
"RPS181",5.54983143704236e-37,0.512407890324842,0.985,0.993,1.56444198378787e-32,"19","RPS18"
"UBC",2.03425570823666e-36,0.675663238097675,0.863,0.921,5.73436341594833e-32,"19","UBC"
"NDUFB1",6.1273494694774e-35,1.02011188389391,0.52,0.489,1.72723854195099e-30,"19","NDUFB1"
"COX6B1",7.09252450788351e-31,0.805680633962435,0.637,0.722,1.99931173352728e-26,"19","COX6B1"
"TSPO1",5.28493284449095e-30,0.590364734535995,0.659,0.643,1.48976971953355e-25,"19","TSPO"
"PKM5",3.84430757842496e-28,0.897138997828444,0.517,0.488,1.08367186328221e-23,"19","PKM"
"COX7A21",1.62520720576626e-27,0.810144677148283,0.615,0.669,4.58129659233452e-23,"19","COX7A2"
"ITM2B1",2.37633195110107e-27,0.640108304152939,0.745,0.855,6.6986421369588e-23,"19","ITM2B"
"S100A81",3.60569817042128e-26,2.22804296776288,0.575,0.56,1.01641025726005e-21,"19","S100A8"
"COX6A12",3.15054684790925e-24,0.849070021074113,0.564,0.599,8.8810765095714e-20,"19","COX6A1"
"EDF11",6.18796175184416e-24,0.677912076230534,0.619,0.697,1.74432453822735e-19,"19","EDF1"
"NDUFS5",1.44861872486892e-23,0.869256385718946,0.55,0.584,4.08351132353301e-19,"19","NDUFS5"
"HINT14",6.51743835671222e-21,0.687847442656841,0.712,0.797,1.83720069837361e-16,"19","HINT1"
"COX7C",3.74716030204114e-20,0.644220661601945,0.767,0.858,1.05628701754238e-15,"19","COX7C"
"ZFP36L15",4.31243204984352e-20,1.32637766177201,0.538,0.538,1.21563147053039e-15,"19","ZFP36L1"
"COX8A1",1.00428767984432e-19,0.766236427929263,0.574,0.625,2.83098654071316e-15,"19","COX8A"
"UQCRB",4.85442053468798e-17,0.665327901909895,0.735,0.832,1.3684126045232e-12,"19","UQCRB"
"CHCHD21",9.35376572921636e-16,0.594379496777976,0.642,0.759,2.6367330214088e-11,"19","CHCHD2"
"HSP90AA14",2.27978035487435e-14,0.602854434172785,0.749,0.853,6.42647284235529e-10,"19","HSP90AA1"
"RAC14",3.99427062587122e-12,0.539340459677081,0.551,0.58,1.12594494672684e-07,"19","RAC1"
"GUK1",5.81536346997309e-11,0.560709780590358,0.549,0.622,1.63929280855071e-06,"19","GUK1"
"NDUFA42",5.95799678017148e-11,0.823901784455103,0.583,0.705,1.67949971236254e-06,"19","NDUFA4"
"ZFP364",2.35835300559872e-06,1.04427132223516,0.545,0.617,0.0664796128748223,"19","ZFP36"
"GNAS3",2.14009005320561e-05,0.583219703527861,0.618,0.74,0.60326998509813,"19","GNAS"
"NDUFB21",0.0002936325283766,0.579735754529958,0.478,0.576,1,"19","NDUFB2"
"S100A92",0.00604963607718829,1.20740003493312,0.549,0.66,1,"19","S100A9"
"GNLY",0,4.15770202241567,0.881,0.214,0,"2","GNLY"
"NKG7",0,3.7812406507438,0.986,0.237,0,"2","NKG7"
"CCL51",0,3.04451018957756,0.926,0.256,0,"2","CCL5"
"FGFBP2",0,2.85719871518518,0.723,0.062,0,"2","FGFBP2"
"GZMH",0,2.82344375786049,0.743,0.077,0,"2","GZMH"
"GZMA1",0,2.81504056630643,0.923,0.147,0,"2","GZMA"
"GZMB1",0,2.775319009539,0.756,0.081,0,"2","GZMB"
"CST71",0,2.66888212656217,0.923,0.174,0,"2","CST7"
"KLRD1",0,2.54808988890573,0.768,0.075,0,"2","KLRD1"
"PRF1",0,2.45771500938476,0.731,0.084,0,"2","PRF1"
"CTSW",0,2.32240799017697,0.809,0.15,0,"2","CTSW"
"CCL4",0,2.25800496118524,0.623,0.088,0,"2","CCL4"
"GZMM",0,1.91572802829543,0.795,0.202,0,"2","GZMM"
"KLRB1",0,1.79045916839768,0.564,0.137,0,"2","KLRB1"
"CD247",0,1.76552881904872,0.693,0.218,0,"2","CD247"
"HCST",0,1.63116735165073,0.949,0.605,0,"2","HCST"
"SAMD3",0,1.52926804618045,0.597,0.115,0,"2","SAMD3"
