"","ensembl_gene_id","external_gene_name","refseq_mrna"
"461","ENSG00000166349","RAG1","NM_000448"
"462","ENSG00000143390","RFX5","NM_000449"
"463","ENSG00000007908","SELE","NM_000450"
"464","ENSG00000292354","SHOX","NM_000451"
"465","ENSG00000185960","SHOX","NM_000451"
"466","ENSG00000125255","SLC10A2","NM_000452"
"467","ENSG00000105641","SLC5A5","NM_000453"
"468","ENSG00000142168","SOD1","NM_000454"
"469","ENSG00000118046","STK11","NM_000455"
"470","ENSG00000139531","SUOX","NM_000456"
"471","ENSG00000101076","HNF4A","NM_000457"
"472","ENSG00000276194","HNF1B","NM_000458"
"473","ENSG00000275410","HNF1B","NM_000458"
"474","ENSG00000120156","TEK","NM_000459"
"475","ENSG00000090534","THPO","NM_000460"
"476","ENSG00000151090","THRB","NM_000461"
"477","ENSG00000114062","UBE3A","NM_000462"
"478","ENSG00000241635","UGT1A1","NM_000463"
"479","ENSG00000138376","BARD1","NM_000465"
"480","ENSG00000127980","PEX1","NM_000466"
"481","ENSG00000122691","TWIST1","NM_000474"
"482","ENSG00000169297","NR0B1","NM_000475"
"483","ENSG00000106992","AK1","NM_000476"
"484","ENSG00000163631","ALB","NM_000477"
"485","ENSG00000162551","ALPL","NM_000478"
"486","ENSG00000104899","AMH","NM_000479"
"487","ENSG00000133805","AMPD3","NM_000480"
"488","ENSG00000145020","AMT","NM_000481"
"489","ENSG00000110244","APOA4","NM_000482"
"490","ENSG00000234906","APOC2","NM_000483"
"491","ENSG00000142192","APP","NM_000484"
"492","ENSG00000198931","APRT","NM_000485"
"493","ENSG00000167580","AQP2","NM_000486"
"494","ENSG00000100299","ARSA","NM_000487"
"495","ENSG00000117601","SERPINC1","NM_000488"
"496","ENSG00000085224","ATRX","NM_000489"
"497","ENSG00000101200","AVP","NM_000490"
"498","ENSG00000173369","C1QB","NM_000491"
"499","ENSG00000001626","CFTR","NM_000492"
"500","ENSG00000123500","COL10A1","NM_000493"
"501","ENSG00000065618","COL17A1","NM_000494"
"502","ENSG00000188153","COL4A5","NM_000495"
"503","ENSG00000244752","CRYBB2","NM_000496"
"504","ENSG00000160882","CYP11B1","NM_000497"
"505","ENSG00000179142","CYP11B2","NM_000498"
"506","ENSG00000140465","CYP1A1","NM_000499"
"507","ENSG00000233151","CYP21A2","NM_000500"
"508","ENSG00000232414","CYP21A2","NM_000500"
"509","ENSG00000235134","CYP21A2","NM_000500"
"510","ENSG00000198457","CYP21A2","NM_000500"
"511","ENSG00000231852","CYP21A2","NM_000500"
"512","ENSG00000049540","ELN","NM_000501"
"513","ENSG00000121053","EPX","NM_000502"
"514","ENSG00000104313","EYA1","NM_000503"
"515","ENSG00000126218","F10","NM_000504"
"516","ENSG00000131187","F12","NM_000505"
"517","ENSG00000180210","F2","NM_000506"
"518","ENSG00000165140","FBP1","NM_000507"
"519","ENSG00000171560","FGA","NM_000508"
"520","ENSG00000171557","FGG","NM_000509"
"521","ENSG00000131808","FSHB","NM_000510"
"522","ENSG00000176920","FUT2","NM_000511"
"523","ENSG00000141012","GALNS","NM_000512"
"524","ENSG00000268221","OPN1MW","NM_000513"
"525","ENSG00000168621","GDNF","NM_000514"
"526","ENSG00000259384","GH1","NM_000515"
"527","ENSG00000087460","GNAS","NM_000516"
"528","ENSG00000188536","HBA2","NM_000517"
"529","ENSG00000244734","HBB","NM_000518"
"530","ENSG00000223609","HBD","NM_000519"
"531","ENSG00000213614","HEXA","NM_000520"
"532","ENSG00000049860","HEXB","NM_000521"
"533","ENSG00000106031","HOXA13","NM_000522"
"534","ENSG00000128714","HOXD13","NM_000523"
"535","ENSG00000178394","HTR1A","NM_000524"
"536","ENSG00000187486","KCNJ11","NM_000525"
"537","ENSG00000186847","KRT14","NM_000526"
"538","ENSG00000130164","LDLR","NM_000527"
"539","ENSG00000104774","MAN2B1","NM_000528"
"540","ENSG00000185231","MC2R","NM_000529"
"541","ENSG00000158887","MPZ","NM_000530"
"542","ENSG00000036473","OTC","NM_000531"
"543","ENSG00000114054","PCCB","NM_000532"
"544","ENSG00000123560","PLP1","NM_000533"
"545","ENSG00000064933","PMS1","NM_000534"
"546","ENSG00000122512","PMS2","NM_000535"
"547","ENSG00000175097","RAG2","NM_000536"
"548","ENSG00000143839","REN","NM_000537"
"549","ENSG00000133111","RFXAP","NM_000538"
"550","ENSG00000163914","RHO","NM_000539"
"551","ENSG00000196218","RYR1","NM_000540"
"552","ENSG00000281857","SAG","NM_000541"
"553","ENSG00000130561","SAG","NM_000541"
"554","ENSG00000168878","SFTPB","NM_000542"
"555","ENSG00000166311","SMPD1","NM_000543"
"556","ENSG00000223481","TAP2","NM_000544"
"557","ENSG00000225967","TAP2","NM_000544"
"558","ENSG00000232326","TAP2","NM_000544"
"559","ENSG00000135100","HNF1A","NM_000545"
"560","ENSG00000141510","TP53","NM_000546"
"561","ENSG00000115705","TPO","NM_000547"
"562","ENSG00000103197","TSC2","NM_000548"
"563","ENSG00000134200","TSHB","NM_000549"
"564","ENSG00000107165","TYRP1","NM_000550"
"565","ENSG00000134086","VHL","NM_000551"
"566","ENSG00000110799","VWF","NM_000552"
"567","ENSG00000165392","WRN","NM_000553"
"568","ENSG00000105392","CRX","NM_000554"
"569","ENSG00000077279","DCX","NM_000555"
"570","ENSG00000125965","GDF5","NM_000557"
"571","ENSG00000206172","HBA1","NM_000558"
"572","ENSG00000213934","HBG1","NM_000559"
"573","ENSG00000143119","CD53","NM_000560"
"574","ENSG00000134184","GSTM1","NM_000561"
"575","ENSG00000157131","C8A","NM_000562"
"576","ENSG00000091181","IL5RA","NM_000564"
