"Dendritic cell"	"Natural killer (NK) cell"	"CD4+ T cell"	"B cell"	"Monocyte:CD16-"	"Natural killer T (NKT) cell"	"Naive CD4+ T cell"	"Monocyte:CD16+"	"Neutrophil"	"Naive CD8+ T cell"	"Regulatory T (Treg) cell"	"Plasma cell"	"Megakaryocyte"	"Plasmacytoid dendritic cell"	"MKI67+ progenitor cell"	"Exhausted CD8+ T cell"	"Macrophages"	"Endothelial cell"	"Mast cell"	"Fibroblast"	"keratinocyte"	"Basal cell"	"Myofibroblast"
"FCER2"	0.0121349238996298	0.013368580060423	0.00248067932449194	0.992127891486012	0.0309433421674665	0.00499533768482749	0.00172477516323765	0.0338222089194852	0.0170801402779582	0.00319488817891374	0.00273722627737226	0.19811320754717	0.00294856394015507	0.0294985250737463	0.0274151436031332	0	0.0189840944073884	0	0	0.0011037527593819	0.000413337007440066	0.000442624764855594	0.000314267756128221
"HLA-DQB1"	23.0623200329083	0.71404833836858	0.146550901631524	4.3850066610149	2.9081011388869	0.517583588650593	0.0411482074658125	2.69619874289135	0.696454084946097	0.0493432729854455	0.327554744525547	1.38679245283019	0.393906301190346	3.54277286135693	2.22584856396867	0.212121212121212	8.59774243201642	2.38400766100072	0.0816326530612245	0.198399558498896	0.325158445852852	0.220205820515658	0.189189189189189
"HLA-DRB1"	54.7529823118058	2.05747734138973	0.262093311706898	9.44217027976263	8.00171907456486	1.58991607832689	0.077122089441912	9.40197545645016	1.83686193012079	0.0830670926517572	0.744525547445255	4.25471698113208	1.04674019875505	9.51769911504425	7.04830287206266	0.204545454545455	24.3873781426372	9.86641129997606	0.138775510204082	0.478752759381898	0.769633507853403	0.431891114307846	0.664676304211188
"HLA-DPB1"	68.7285067873303	1.72990936555891	0.387272206850491	9.21073028945137	5.25807606904949	1.48155055281737	0.163114451151903	8.27716252618976	0.936615144824003	0.36741214057508	0.777372262773723	3.08490566037736	0.996942229987987	8.63864306784661	4.93080939947781	0.363636363636364	22.2714212416624	5.46851807517357	0.142857142857143	0.780077262693157	1.29071369523285	0.374239238685404	0.84978001257071
"HLA-DPA1"	52.5867955573838	1.97522658610272	0.302070413128518	8.49473174276372	6.32934603538428	1.38191021713068	0.119255882715289	12.8443579766537	1.11865177295753	0.167199148029819	0.590328467153285	3.95283018867925	0.710603909577373	9.91297935103245	5.29503916449086	0.340909090909091	18.5192406362237	5.52717261192243	0.142857142857143	0.50551876379691	0.679388261228989	0.343255505145513	0.859522313010685
"LTB"	1.87721102426985	1.79720543806647	12.0294819196642	8.91025796294054	0.228063892271327	2.69002264553084	7.39164716028089	1.23615683926968	0.445837121704117	6.50230741924033	6.86770072992701	1.94339622641509	3.29824178224309	4.75958702064897	2.39425587467363	10.2878787878788	0.815289892252437	0.0833133828106296	0.0612244897959184	0.0753311258278146	0.56324056213833	0.0646232156689167	0.0747957259585167
"HVCN1"	0.183463595228301	0.129833836858006	0.0314855452723977	0.991764563400751	0.382279206360576	0.0775942453709871	0.0307995564863866	0.557018856629752	0.210806598259514	0.0422435214767483	0.041970802919708	0.226415094339623	0.0259910451021077	0.458702064896755	0.137075718015666	0.0303030303030303	0.153412006157004	0.0823557577208523	0.0244897959183673	0.0259381898454746	0.00826674014880132	0.00497952860462543	0.0930232558139535
"CXCR4"	3.96873714520773	1.81329305135952	3.53105619692777	4.7621412135158	1.13809899004369	3.24463833755162	1.81865221140816	1.27746183777312	0.5928692037927	2.35214767483138	2.90510948905109	1.29245283018868	1.81445888391395	3.22861356932153	2.30809399477807	3.25	1.80092355053874	0.278908307397654	0.0204081632653061	0.150386313465784	0.386607880958942	0.198185238464092	0.172532998114393
"HLA-DMA"	5.94611271081859	0.449395770392749	0.0684095029100277	2.05231924427758	2.01991261370962	0.351205541494605	0.0530984353825305	1.43609697695301	0.489414209637615	0.063187788427405	0.155109489051095	1.37735849056604	0.204106148301846	3.15339233038348	1.10704960835509	0.106060606060606	3.19497178040021	1.84294948527651	0.0326530612244898	0.0902317880794702	0.110912096996418	0.170742503043045	0.165304839723444
"HLA-DRB5"	11.0150143973673	0.644712990936556	0.068314092166778	2.17052198134916	2.31502041401046	0.44798188357533	0.0156461746950844	3.65758754863813	0.667359397324328	0.0170394036208733	0.215328467153285	1.57547169811321	0.191984274325653	2.78613569321534	1.17754569190601	0.106060606060606	1.92765520779887	0.543452238448647	0.0122448979591837	0.0171081677704194	0.0967208597409755	0.0224632068164214	0.0691389063482087
"HLA-DMB"	2.44919786096257	0.3297583081571	0.0237572750691728	1.4858907593557	1.62982594370031	0.226521912881311	0.022545275348035	0.776414247231368	0.517924405766983	0.0305289314873979	0.0410583941605839	0.367924528301887	0.0680353827672819	1.78466076696165	0.460835509138381	0.0227272727272727	1.91072344792201	0.573617428776634	0.0163265306122449	0.03780353200883	0.0308624965555249	0.0433772269558482	0.0414833438089252
"JUND"	9.14356232003291	7.11925981873112	8.06230321534205	13.1922005571031	10.5094190960533	7.27647528972959	4.84316865837132	12.5929362466327	5.72269125860501	5.69258075967341	6.26642335766423	6.72641509433962	1.9381893633286	11.2212389380531	6.54046997389034	7.74242424242424	3.81836839404823	8.07804644481685	3.58367346938775	6.01959161147903	2.21066409479195	5.03895097930729	9.3240100565682
"CD52"	5.03229123817359	4.97205438066465	9.21200267150081	11.0640668523677	5.02249122555691	7.64146796323431	4.99913761241838	12.2666866207722	2.77562021041694	5.47142350017749	7.8485401459854	9.11320754716981	4.42983509883149	2.87315634218289	11.6723237597911	7.67424242424242	2.63878912262699	0.0916926023461815	0.718367346938775	0.098233995584989	0.833149627996693	0.0916233263251079	0.131678189817725
"SWAP70"	1.79164952694364	0.095619335347432	0.0182234519606908	0.948044083807678	0.233221115965905	0.0487544958039163	0.0120734261426635	0.55552229871296	0.130666320301338	0.00603478878239262	0.0602189781021898	0.30188679245283	0.0585344545156711	0.113569321533923	0.161879895561358	0.0151515151515152	0.475628527449974	3.11946372994972	0.0653061224489796	0.388796909492274	0.136538991457702	0.302755339161226	0.810810810810811
"CD69"	0.342040312628548	1.28391238670695	2.93846007060395	2.52949012958702	0.102213308502256	1.81723724523778	1.45657262535419	0.0841065549236756	0.175931939212885	1.16009939652112	1.56021897810219	0.339622641509434	0.789669105602271	0.376106194690265	1.66579634464752	3.71969696969697	0.167265264238071	0.0533875987550874	2.24897959183673	0.0333885209713024	0.0316891705704051	0.0680535575965475	0.0235700817096166
"FCMR"	0.0944055944055944	0.262990936555891	0.352638107050854	0.959549473174276	0.00866700093116539	0.270414280005328	0.493285696685968	0.014067644417839	0.0369528510196129	0.539936102236422	0.663321167883212	0.462264150943396	0.211968985475592	0.109144542772861	0.308093994778068	0.484848484848485	0.112878399179066	0.00646396935599713	0	0.0416666666666667	0.0529071369523285	0.0234591125373465	0.217159019484601
"STX7"	1.08041958041958	0.269939577039275	0.0847247400057246	1.02918735618263	0.655110665425113	0.16977487678167	0.0675126278181594	0.96348398683029	0.383556306013768	0.0646077387291445	0.103102189781022	0.556603773584906	0.103308943977285	1.28023598820059	0.288511749347258	0.0378787878787879	0.594150846587994	0.357194158486952	0.0489795918367347	0.231788079470199	0.0949297327087352	0.251078897864336	0.938403519798869
"SNX2"	1.50164541341012	0.363821752265861	0.231752695353497	1.29356909289088	1.06804670152568	0.28706540562142	0.165948010348651	1.40885962286741	0.589102480841668	0.175718849840256	0.190693430656934	0.679245283018868	0.154198973462925	0.523598820058997	0.66710182767624	0.204545454545455	0.822986146741919	0.449126167105578	0.163265306122449	0.488962472406181	0.284375861118766	0.585703220095164	0.459773727215588
"TSC22D3"	2.3751542575072	3.55996978851964	4.84848773971949	5.97529369020225	4.15901439724948	4.25602770747303	2.59085869163484	6.87458844657288	2.1896999610339	3.44053958111466	3.94343065693431	3.5	1.0891121546358	2.50589970501475	2.47519582245431	4.41666666666667	1.04720369420215	1.01125209480488	1.00408163265306	1.6158940397351	0.145907963626343	0.322784109770942	1.21841609050911
"IRF8"	0.787124640065817	0.179909365558912	0.0101135387844671	0.823906988010173	0.513072129503617	0.0776608498734514	0.013305408402119	0.472612990122718	0.248733601766463	0.0138445154419595	0.010036496350365	0.245283018867925	0.022387244730807	8.45870206489676	0.366840731070496	0.0454545454545455	0.643406875320677	0.0804405075412976	0.0122448979591837	0.199779249448124	0.00537338109672086	0.0107336505477481	0.151162790697674
