"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CAPZB",3.01921025675008e-48,1.04719472940852,0.924,0.488,8.5108517927528e-44,"17","CAPZB"
"LIMS11",3.35148037711123e-48,0.94615583556791,0.602,0.18,9.44748803503884e-44,"17","LIMS1"
"FLNB",3.69801819476591e-48,0.426881913979292,0.263,0.04,1.04243434892256e-43,"17","FLNB"
"TRAC3",3.91848031837553e-48,1.28911375327009,0.959,0.579,1.10458041694688e-43,"17","TRAC"
"TRPS1",6.12188459885094e-47,0.609764386316249,0.363,0.072,1.72569804957009e-42,"17","TRPS1"
"LCK",1.00583632639416e-46,1.15968113226789,0.901,0.448,2.8353520204725e-42,"17","LCK"
"TAP11",3.22372851819392e-46,0.760128384311688,0.626,0.186,9.08736831993684e-42,"17","TAP1"
"CD84",3.28796066470346e-46,0.821204165780929,0.591,0.169,9.26843231773258e-42,"17","CD84"
"LPXN",3.93526300786489e-46,0.606154614558379,0.52,0.132,1.10931128928703e-41,"17","LPXN"
"MRPS6",2.30645508403959e-45,0.849123045892979,0.673,0.211,6.50166623639921e-41,"17","MRPS6"
"RAB27A",2.67474189604296e-45,0.710399030212123,0.591,0.166,7.5398299307555e-41,"17","RAB27A"
"LYAR",2.68337048089285e-45,1.110275858019,0.784,0.298,7.56415304858886e-41,"17","LYAR"
"IKBKE",1.03054143704347e-44,0.457187027907348,0.363,0.072,2.90499325688184e-40,"17","IKBKE"
"CBLB1",2.49302797137808e-44,0.821852850178383,0.591,0.174,7.02759654851766e-40,"17","CBLB"
"EVI2B",2.59035634206248e-44,1.02872597010407,0.906,0.438,7.30195549263994e-40,"17","EVI2B"
"PECAM1",4.07303678395671e-44,0.518016718700212,0.404,0.089,1.14814833902956e-39,"17","PECAM1"
"NDUFV2",4.5479775894349e-44,0.835912489191424,0.749,0.272,1.28202940268581e-39,"17","NDUFV2"
"CD5",1.30853981843135e-43,0.59863403508587,0.48,0.12,3.68864289417614e-39,"17","CD5"
"ARPC5",1.44484035913762e-43,1.06472568170329,0.912,0.541,4.07286048837304e-39,"17","ARPC5"
"FAM45A",2.8641232182128e-43,0.488198051105858,0.404,0.089,8.07367693982005e-39,"17","FAM45A"
"ZYX",3.69724321245909e-43,0.726596261821672,0.544,0.154,1.04221588916009e-38,"17","ZYX"
"HDDC2",7.71739897548355e-43,0.775320249937309,0.614,0.187,2.17545759719906e-38,"17","HDDC2"
"DGKA2",1.91381826814344e-42,0.866214969173052,0.667,0.225,5.39486231606955e-38,"17","DGKA"
"LAT1",2.44584849017001e-42,0.975625405140416,0.801,0.339,6.89460230894024e-38,"17","LAT"
"CORO1A",5.28262188896906e-42,1.04099611647023,0.953,0.722,1.48911828428149e-37,"17","CORO1A"
"VPS25",5.84884715256676e-42,0.360936167547917,0.333,0.065,1.64873152383704e-37,"17","VPS25"
"GPR1551",1.15658164017072e-41,0.6304531146426,0.45,0.112,3.26028798547723e-37,"17","GPR155"
"PYM1",2.12864208485653e-41,0.483875520072299,0.439,0.104,6.00042917300208e-37,"17","PYM1"
