"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TM7SF2",1.76469331463293e-08,0.323989363649917,0.364,0.317,0.000497449398461876
"HOPX",6.31995521129474e-08,0.821889131798418,0.688,0.817,0.00178153217451187
"DEFB1",7.81072109996719e-08,0.304146515223161,0.646,0.652,0.00220176417086975
"RAB11A",9.26849921207599e-08,0.310541903539645,0.711,0.766,0.0026126972428921
"ELOVL1",1.63530828474546e-07,0.316539805211789,0.512,0.505,0.00460977052386899
"CD36",4.13673645679522e-07,0.346280892143937,0.273,0.228,0.01166104639806
"CLDN4",4.37138495706635e-06,0.342795578631087,0.477,0.461,0.123224970554743
"ANXA1",6.17038599927429e-06,0.518286744457284,0.632,0.664,0.173937010933543
"CTSL",3.55887987248809e-05,0.380015448555834,0.368,0.35,1
"ATP1B1",6.12612877606109e-05,0.493676287901487,0.37,0.34,1
"POF1B",7.89472728777416e-05,0.409883384553732,0.366,0.338,1
"SDR16C5",0.000132032573128262,0.300478892234139,0.51,0.509,1
"LY6G6C",0.000144441384605227,0.587623788081637,0.311,0.277,1
"LGALSL",0.000240412411278349,0.40044692698713,0.454,0.449,1
"DSC2",0.00111049881496963,0.376629318454056,0.51,0.545,1
"LRRC75A",0.00136064585819049,0.323193909386042,0.523,0.487,1
"SUCO",0.00147850879412559,0.305622818838747,0.324,0.296,1
