"Natural killer (NK) cell"	"CD4+ T cell"	"Monocyte:CD16+"	"Monocyte:CD16-"	"Naive CD4+ T cell"	"Natural killer T (NKT) cell"	"Neutrophil"	"Megakaryocyte"	"B cell"	"Dendritic cell"	"Regulatory T (Treg) cell"	"Naive CD8+ T cell"	"Plasmacytoid dendritic cell"	"Plasma cell"	"Exhausted CD8+ T cell"	"MKI67+ progenitor cell"	"Endothelial cell"	"Macrophages"	"Mast cell"	"keratinocyte"	"Basal cell"	"Myofibroblast"	"Fibroblast"
"HLA-DQB1"	0.688919324909428	0.148696420680513	2.22129585516913	2.95722197930331	0.0275524373309947	0.594637223974763	0.716224989671251	0.510918829831067	3.72967462407612	23.2700668896321	0.264361078546307	0.0359808612440191	3.59172661870504	1.3	0.172690763052209	1.67542213883677	4.72022382094325	14.9945355191257	0.147368421052632	0.19084213896894	0.301460197833255	0.0889121338912134	0.0673333333333333
"HLA-DRB1"	1.89900150216488	0.22389158933569	9.0545497856122	8.23014137880775	0.0584667105166996	1.54664945989867	1.78569320663401	1.32632880098888	8.03347209243055	59.7428929765886	0.637162954279015	0.0606698564593301	9.48111510791367	2.68461538461538	0.253012048192771	6.25328330206379	21.5115907274181	59.3469945355191	0.242105263157895	0.476785142491194	0.62411681582666	0.286610878661088	0.387333333333333
"AFF3"	0.0280993196076699	0.0173074090440418	0.0278704144830872	0.0343244425010931	0.0412190309142732	0.0173979543064717	0.0233134627869917	0.0889987639060569	0.884376858380766	0.75	0.0398593200468933	0.0122488038277512	0.838129496402878	0.0576923076923077	0.0160642570281124	0.166979362101313	0.155075939248601	2.00819672131148	0	0.00512327889849504	0.0730098916627414	0.867154811715481	0.474666666666667
"HLA-DPA1"	1.64867014226385	0.252688172043011	10.5662220104812	5.85446727882233	0.0863114814002777	1.21503680336488	1.05093548958272	0.857849196538937	6.64242630192847	49.1567725752508	0.43200468933177	0.114832535885167	9.18794964028777	2.17307692307692	0.293172690763052	4.16510318949343	10.7561950439648	35.9918032786885	0.115789473684211	0.25552353506244	0.231747527084315	0.173640167364017	0.226
"SWAP70"	0.0891579040381727	0.020106053910738	0.551214864221058	0.224675703250255	0.0115471753270482	0.0495650511423382	0.109071592988255	0.118252987227029	0.966612862118767	0.573578595317726	0.0416178194607268	0.0116746411483254	0.154676258992806	0.334615384615385	0.0160642570281124	0.23827392120075	4.54036770583533	0.967213114754098	0.0526315789473684	0.150816522574448	0.52802637776731	0.72907949790795	0.617333333333333
"HVCN1"	0.117610674206945	0.0268817204301075	0.46903287279657	0.363941116455327	0.0304757728568296	0.0736067297581493	0.175234610163489	0.0786979810465595	0.8302608104664	0.308110367892977	0.048651817116061	0.0342583732057416	0.410071942446043	0.119230769230769	0.0281124497991968	0.170731707317073	0.19744204636291	0.218579234972678	0.0315789473684211	0.00416266410502722	0.0117757889778615	0.126569037656904	0.044
"LTB"	1.57431298047186	8.48482839888054	1.01000476417342	0.209881941407958	5.01527442812249	2.33295096071121	0.437407779023786	2.13803049031726	7.11222495964659	1.1128762541806	4.84876905041032	4.24153110047847	4.43165467625899	1.47307692307692	7.46586345381526	1.63977485928705	0.0431654676258993	0.360655737704918	0.0210526315789474	0.0509125840537944	0.0292039566650966	0.0251046025104603	0.0146666666666667
"HLA-DMB"	0.288592383140408	0.022389158933569	0.718913768461172	1.59648739250838	0.0166630124972594	0.237644584647739	0.456235613527711	0.202719406674907	1.39945629088438	4.66095317725753	0.0369284876905041	0.0204784688995215	1.76258992805755	0.303846153846154	0.0160642570281124	0.463414634146341	0.796163069544365	1.89890710382514	0.0105263157894737	0.0150496317643292	0.0202543570419218	0.00627615062761506	0.01
"HLA-DMA"	0.380887160908368	0.0511857416408897	1.31657932348737	2.0119516105524	0.0388072791054593	0.33519739986617	0.446320014165142	0.266996291718171	1.70716166850735	8.07817725752508	0.113130128956624	0.0537799043062201	2.81744604316547	0.811538461538462	0.0522088353413655	1.0093808630394	3.36051159072742	4.8879781420765	0.0105263157894737	0.0496317643291707	0.0767781441356571	0.0428870292887029	0.0406666666666667
"STX7"	0.269859503401962	0.0785830019148623	0.838732729871367	0.635475878151873	0.0659942994957246	0.199837491635599	0.327686950362982	0.248042851256696	1.05148245688557	1.1680602006689	0.0920281359906213	0.0618181818181818	1.45143884892086	0.580769230769231	0.0883534136546185	0.378986866791745	0.49480415667466	0.631147540983607	0.0421052631578947	0.0685238552673711	0.178520960904381	0.255230125523013	0.196
"BIRC3"	0.20835910577008	0.563779643541022	0.551691281562649	0.285599766797843	0.313454651757655	0.223544594207055	0.108776485864369	0.798104655953852	1.14051482456886	3.92809364548495	0.762602579132474	0.16688995215311	0.192446043165468	0.280769230769231	0.598393574297189	0.439024390243902	3.1550759392486	5.23224043715847	1.35789473684211	0.392891450528338	0.337729627885068	1.08054393305439	0.696
"CXCR4"	1.65450207652205	2.95043452643983	0.626727012863268	0.646771607637371	1.17043046115618	3.03976675270051	0.446556099864251	1.86650185414091	3.87588140344915	3.79765886287625	2.64243845252052	1.90755980861244	2.26169064748201	0.765384615384615	2.4578313253012	2.06191369606004	0.104716227018385	2.57103825136612	0.0105263157894737	0.11911623439001	0.0645313235986811	0.0606694560669456	0.116666666666667
"MARCH1"	0.274586904656711	0.012520253351009	1.15483563601715	1.34185978720303	0.0165168457209676	0.220772392696683	0.687245470105648	0.203131437989287	1.09463936793815	1.39088628762542	0.0128956623681125	0.0114832535885167	0.781474820143885	0.276923076923077	0.0200803212851406	0.163227016885553	0.000799360511590727	0.112021857923497	0	0.00192122958693564	0.00329722091380122	0	0
"SNX2"	0.328488115224883	0.188098394461629	1.29704621248213	1.04860807462469	0.137177519549806	0.282477774591339	0.475417576580299	0.262463947259992	1.19216719055305	1.29347826086957	0.163540445486518	0.151961722488038	0.528776978417266	0.519230769230769	0.1285140562249	0.718574108818011	0.523581135091926	0.680327868852459	0.0736842105263158	0.755683637528018	0.579839849269901	0.317991631799163	0.412
"CD69"	1.48418308739065	2.9896892031227	0.0669366364935684	0.0832240198221834	1.07118322005408	2.04502437625466	0.165673139349584	1.11866501854141	2.76433608019709	0.664297658862876	1.62368112543962	1.1177033492823	0.617805755395683	0.580769230769231	3.16064257028112	2.4765478424015	0.026378896882494	0.213114754098361	1.11578947368421	0.0112071725904579	0.0155440414507772	0.0125523012552301	0.032
"HLA-DRB5"	0.384554210479809	0.0416850788039476	2.20295378751787	1.69581693630666	0.00920850690638018	0.294570308765892	0.376969840051939	0.2315615986815	1.40412879109676	10.9657190635452	0.103751465416178	0.0151196172248804	2.01528776978417	1.00769230769231	0.0562248995983936	1.72420262664165	8.03756994404476	20.9071038251366	0.0736842105263158	0.0365033621517771	0.215261422515309	0.0481171548117155	0.141333333333333
"FCMR"	0.254440222673854	0.305273236117248	0.0109575988565984	0.00947383763299811	0.394211795658847	0.267135073128764	0.0381278404060674	0.166048619695097	0.844788038399456	0.084866220735786	0.488276670574443	0.421052631578947	0.12589928057554	0.526923076923077	0.313253012048193	0.424015009380863	0.00639488409272582	0.0765027322404372	0	0.00832532821005444	0.0136599152143194	0.049163179916318	0.00333333333333333
"CD52"	3.91190244764514	7.02982766239505	9.78751786565031	4.33100131176213	3.5243002265585	6.18420801070643	2.16644041787169	3.56448290070045	8.89856426811656	6.48202341137124	5.47010550996483	3.88076555023923	2.38219424460432	8.01538461538462	5.50200803212851	10.5609756097561	0.250199840127898	1.92622950819672	0.0736842105263158	0.115273775216138	0.095148374941121	0.0418410041841004	0.0266666666666667
"IKZF3"	0.510161703631705	0.374944763588157	0.00952834683182468	0.0126074916192975	0.204706570196594	0.586177229710353	0.0599657675736292	0.42398022249691	0.997451363520517	0.110785953177258	0.389800703399766	0.379521531100478	0.155575539568345	1.07692307692308	0.622489959839357	1.18574108818011	0.04396482813749	0.0628415300546448	0	0.0256163944924752	0.0626471973622233	0.0230125523012552	0.0186666666666667
