Mixture	Dendritic cell	Natural killer (NK) cell	CD4+ T cell	B cell	Monocyte:CD16-	Natural killer T (NKT) cell	Naive CD4+ T cell	Monocyte:CD16+	Neutrophil	Naive CD8+ T cell	Regulatory T (Treg) cell	Plasma cell	Megakaryocyte	Plasmacytoid dendritic cell	MKI67+ progenitor cell	Exhausted CD8+ T cell	Macrophages	Endothelial cell	Mast cell	Fibroblast	keratinocyte	Basal cell	Myofibroblast	P-value	Correlation	RMSE
GSM1624289	0.00257292185617627	0.179175272197674	0	0	0.266406257865263	0	0.101506207126344	0	0	0	0.2594224826057	0.00879915201191637	0	0	0.0212327792425995	0.0305806436643809	0.012503854633949	0.00581177842092019	0	0.0592409652628747	0.00240514567867898	0.0503425394335237	0	0.00700000000000001	0.187829683507843	1.0508934868964
GSM1624290	0.00572664145644904	0.136218048471408	0	0	0.248142822081697	0	0.148174143482883	0	0	0	0.222037925096708	0.00583513544865666	0	0	0	0.0815541305786373	0	0	0	0.043601128660574	0.0188955585036189	0.0898144662193673	0	0.002	0.256850524374181	1.03050796040549
GSM1624291	0.00214605544400671	0.174344007983329	0	0	0.159510713189121	0	0.151604555623022	0	0	0	0.314800633692798	0.00187315138085399	0	0	0.0142071899635155	0.00305198669989431	0.0169715859307571	0.00272596595766168	0	0.131951641213415	0.00202618124383608	0.0247863316777887	0	0.012	0.1571364726143	1.05894551657829
GSM1624292	0.00397028303808147	0.135419347470386	0	0	0.288633698359892	0	0.0890723515808033	0	0	0	0.216380568045176	0	0	0	0	0.124201038920241	0	0	0	0.0349836578852034	0.0162272344297851	0.0911118202704317	0	0.003	0.244155058674403	1.03763150907548
GSM1624293	0.00778849437434634	0.172390090994587	0	0	0.287254232871775	0	0.0576927386982665	0	0	0	0.294068040326467	0.00321631981970684	0	0	0.00936319285592706	0.0160228715349369	0.00571827328918993	0.00517882299701707	0	0.0633623533256267	0.00750062849830942	0.064850456857065	0.00559348355677927	0.00600000000000001	0.190599669647169	1.05303886017403
GSM1624294	0.00842490918666537	0.151583262252396	0	0	0.289771031413472	0	0.142999170138913	0	0	0	0.20283062661719	0.000908329790372337	0	0	0	0.0311109689806125	0	0	0	0.0552172897376334	0.0167783026670598	0.100376109215685	0	0.002	0.253933520629152	1.03562684502425
GSM1624295	0.000580422300110934	0.166940960362643	0	0	0.287254643253513	0	0.158423074933029	0	0	0	0.234107460001332	0	0	0	0.000362604567638016	0.00355547061909715	0.00231542913235509	0	0	0.0683897678229506	0.0113771446693961	0.0666930223379354	0	0.00700000000000001	0.186139855434593	1.05685258743019
GSM1624296	0.010579123740384	0.129411845409261	0	0	0.238840844127524	0	0.137041555029549	0	0	0	0.20257110633822	0	0	0	0	0.111813056155048	0	0	0	0.0543574374272084	0.0158547660239756	0.0995302657488303	0	0.002	0.251977118490365	1.03893430815406
GSM1624297	0.00840254717391061	0.179570509972195	0	0	0.246554237578823	0	0.110522374476904	0	0	0	0.229434884418724	0	0	0	0	0.0466428116771687	0.0086755093540568	0	0	0.102357885475813	0.0051769762764151	0.0626622635959897	0	0.00800000000000001	0.182639997293459	1.05809094462126
GSM1624298	0.00643098983696911	0.158778873266903	0	0	0.250065857096422	0	0.162831384908344	0	0	0	0.230387885924686	0	0	0	0	0.0331857040892369	0	0	0	0.0473878815495759	0.0172351958766735	0.0936962274511899	0	0.002	0.251303226135811	1.03325537548795
GSM1624299	0.00460149488911718	0.1520249320757	0	0	0.235161524887768	0	0.165870425645102	0	0	0	0.273164919242773	0	0	0	0	0	0.0144556109245025	0.00876480684400937	0	0.0778424448749558	0.00461449403696519	0.0594016408639374	0.0040977057151693	0.004	0.212541519900777	1.0409806924357
GSM1624300	0.0121946756641518	0.168411111813713	0	0	0.223554499057973	0	0.174295370479548	0	0	0	0.239950264743868	0.00186887856897626	0	0	0	0.0205557583328643	0	0	0	0.0678871256004832	0.0169016946698352	0.074380621068587	0	0.005	0.196439488583949	1.05829749405604
GSM1624301	0.00567480559676236	0.209499081478964	0	0	0.266382272511787	0	0.101107479067341	0	0	0	0.243396319470126	0	0	0	0	0.0159953079600501	0.00493510102890274	0.00212690607835547	0	0.0823077990653842	0.00565737004583569	0.0629175576964906	0	0.00900000000000001	0.176553464539667	1.05847504430959
GSM1624302	0.011694741014102	0.14302618078734	0	0	0.147565639897662	0	0.148302370075228	0	0	0	0.214733492774995	0.00174036497254129	0	0	0.00141145304597727	0.153623577853662	0	0	0	0.0700667044801168	0.0262723075044436	0.0815631675939321	0	0.003	0.220995841234998	1.05153420869706
GSM1624303	0.000449279999340051	0.201420989739882	0	0	0.209846246868302	0	0.14184694978934	0	0	0	0.244972022221238	0.00901793335083396	0	0	0.0134850699463062	0.0273816337417228	0.0128537769850747	0.00661928995533127	0	0.0608538251427517	0.00651284116578838	0.0647401410940882	0	0.00600000000000001	0.191067986475591	1.05260274220064
GSM3293897	0.0100536616364143	0.18048794626426	0	0	0.252685327571627	0	0.0213833586159404	0	0	0	0.215456696227706	0.00600170988217484	0	0.00985942563086865	0.00596437213892987	0.161055951299852	0.0123634837761494	0	0	0.0182272032700734	0.00956385363123162	0.0907964858715242	0.00610052418324831	0.003	0.232874252838467	1.04393478178108
GSM3293898	0.0123757959515357	0.181088308875512	0	0	0.313659369346928	0	0.0204807695349963	0	0	0	0.23816723455327	0.013071700114563	0	0	0.0125196062828957	0.045459578738346	0.0207330404107623	0	0	0.0273502219936385	0.00934971071724167	0.0980986081794354	0.00764605530087478	0.003	0.246707129812719	1.03825906330508
GSM3293909	0.0191087259788289	0.0859849649775476	0	0.00200350543176632	0	0.0220345468557702	0.0993247474905973	0.00196390916370257	0.220503128238503	0	0.156904016955163	0	0	0	0	0.184974893049541	0	0	0	0.0356547533191003	0.0188845376798991	0.15265827085958	0	0	0.495453476624674	0.888336311583716
GSM3293910	0.0183111535433783	0.0671619069444752	0	0	0	0	0.0114087647531214	0	0.207039881489927	0	0.213347374140009	0.00230994275358647	0	0	0	0.269513331426529	0	0	0	0.0178439000408192	0.0218115321990285	0.171252212709126	0	0	0.564964263684139	0.837780651334676
GSM3293911	0.0205629328392907	0.0854314846335029	0	0	0	0.0315172203168373	0.0609354237517318	0.00381727596825269	0.262942313010795	0	0.178294118142663	0	0	0	0	0.137452179105211	0.00240564758520334	0	0	0.0341243019541777	0.00969475733150868	0.172822345360825	0	0	0.589333121233434	0.81515221421175
GSM3293912	0.0222310050441545	0.132495305503061	0	0.00312661847425524	0	0.0114242036013178	0.177250535524737	0	0.0601987371410949	0	0.312862482568228	0.00146117371368086	0	0	0	0.037626656279482	0	0	0	0.0404229281067926	0.0167809187037913	0.184119435339405	0	0	0.456526472201796	0.931510102251196
GSM3293917	0.0181948521294987	0.0842598461700823	0	0.0158648600928168	0	0	0.0554936374863472	0.00517342691104323	0.220425556463566	0	0.225157085352011	0	0	0	0	0.162536311368876	0	0	0	0.0176300516136379	0.00543672962789173	0.189827642784229	0	0	0.538832042174173	0.863446164166525
GSM3293918	0.0188922950320005	0.256986749528508	0	0	0.0395615804201807	0	0.0283648756386285	0	0	0	0.326723248647911	0.0149434551283447	0	0	0	0.0879151009144357	0.0341517093273283	0	0	0.012597557320291	0.0055678030444618	0.161800183249799	0.0124954417481109	0	0.377980960942656	0.974410696738776
GSM3293919	0.0205571224265658	0.118537879369622	0	0	0	0	0.0904479652687334	0	0.248527859805424	0	0.230606813666356	0.0213672313624799	0	0	0	0.0871722239989495	0.00684950647335459	0.0018601194111282	0	0.0225884173321519	0.011549177170818	0.139935683714416	0	0	0.497494579952725	0.88104280788967
GSM3293920	0.0159956382484376	0.1140853284473	0	0.021656430015958	0	0.0133011469940186	0.111583875975306	0	0.249306826167424	0	0.21741486135752	0	0	0	0	0.0653504374687788	0.00407167166933881	0	0	0.0189750927137624	0.00472230095607791	0.163536389986078	0	0	0.53883345401012	0.853977404184208
GSM3293899	0.00258830213994227	0.0965007695341264	0	0	0.242107987638776	0	0.307478798488705	0	0	0	0.186482830031087	0	0	0	0.0504041657756855	0	0	0.000154241806978695	0	0.0333176720803542	0.029963334313415	0.0510018981909313	0	0.101	0.0679433158965375	1.12862347084961
GSM3293921	0.0196694675226398	0.105188881635346	0	0.0290943085826281	0	0	0.0768300171475681	0.00154345261363918	0.254675773343598	0	0.200386288032405	0	0	0	0	0.100611607681724	0	0	0	0.0305909337368018	0.00837256971508933	0.173036699988561	0	0	0.514083660238926	0.877350146933225
GSM3293924	0	0.107699172190591	0	0	0.380077837486292	0	0.200691134082248	0	0	0	0.134844767462732	0	0	0	0.0211085458043042	0.00295791272916593	0	0	0	0.0304181305362831	0.0307815934892565	0.0914209062191282	0	0.003	0.215600599742665	1.0606138843657
GSM3293922	0	0.126803122469182	0	0	0.310301560194602	0	0.229226376756484	0	0	0	0.113636106184407	0	0	0	0.0178552931895259	0.0924721691346885	0	0	0	0.00257030756788674	0.0357883299912549	0.0713467345119688	0	0.054	0.100523544480992	1.11907517393013
GSM3293923	0.00208252308242218	0.159949143936647	0	0	0.310774065582533	0	0.165291539710405	0	0	0	0.176275955226527	0	0	0	0.00231241993654228	0.0702642094345768	0	0.0020247967276182	0	0.017794013348262	0.0285783373613171	0.0646529956531489	0	0.0590000000000001	0.0956691008006385	1.11142140396202
GSM3293916	0.006215067199635	0.0994162889254474	0	0	0.328955470018442	0	0.163632548571041	0	0	0	0.140833629811622	0	0	0	0.00902843933543164	0.0772947389929815	0	0	0	0.0305493796073128	0.0435619765256703	0.100512461012416	0	0.003	0.238302714556849	1.05378998924067
GSM3293913	0	0.187588321252638	0	0	0.245468803878396	0	0.236124838281313	0	0	0	0.142617209143272	0.00625872740293297	0	0	0.00518818504259117	0.0852112142549987	0.010366069853618	0	0	0.0116230840640816	0.00915881746755127	0.0581520269825959	0.00224270237601161	0.083	0.0770350873348176	1.1197738587775
