"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LDLRAD42",2.19412338283891e-75,0.701317285442108,0.448,0.122,6.1850144038846e-71,"18","LDLRAD4"
"THEM4",6.20102155080145e-75,0.313428633585356,0.31,0.065,1.74800596495542e-70,"18","THEM4"
"PEBP15",1.29762932688154e-74,0.64195203819356,0.811,0.349,3.65788730954638e-70,"18","PEBP1"
"MAP4K11",3.3975051183637e-74,0.340027573905673,0.358,0.083,9.57722717815545e-70,"18","MAP4K1"
"TAP2",1.27685260369465e-73,0.484253160424856,0.527,0.16,3.59931980455485e-69,"18","TAP2"
"RPS241",1.39383465074791e-73,0.469159388740524,1,0.995,3.92908049699329e-69,"18","RPS24"
"NOP531",1.82589802186041e-73,0.71690979744935,0.268,0.051,5.14702393382231e-69,"18","NOP53"
"HAVCR21",2.14929104299901e-72,0.516338407922148,0.524,0.158,6.05863652110991e-68,"18","HAVCR2"
"RPL10A4",2.48050668821437e-72,0.616914465106595,0.986,0.961,6.9923003034075e-68,"18","RPL10A"
"AUTS2",3.68347457049248e-72,0.774528845702503,0.22,0.037,1.03833464667612e-67,"18","AUTS2"
"NPM12",8.5100304876936e-72,0.771187382493496,0.955,0.788,2.39889249417595e-67,"18","NPM1"
"RPS112",9.22078264780753e-72,0.644985599762249,0.997,0.989,2.59924642059047e-67,"18","RPS11"
"HINT13",4.0603504017455e-71,0.79284831663678,0.952,0.774,1.14457217474804e-66,"18","HINT1"
"RPS63",4.56441342462536e-71,0.524021462323819,1,0.99,1.28666250026764e-66,"18","RPS6"
